"
                            بورس انواع شیلنگ و لوله های فشارقوی
                            
",اکبر تقیان,33904300-33902757,,منطقه 12,"
                           خ امیرکبیر، روبروی کوچه ناظم الاطباء شمالی پاساژ طوس طبقه اول، پلاک 11 
                        ",,
"
                            دوربین های عکاسی
                            
",سیامک آزادگر,77617126,9124455275,منطقه 7,"
                           خ انقلاب، بهار جنوبی، برج بهار طبقه اول واحد304 
                        ",,
"
                            تولید پرچم
                            
",مسعود فلاحی,66460179-66451014-66415688,,منطقه 12,"
                           امام خمینی، روبروی شیخ هادی، فروشگاه پرچم وکیلی 
                        ",دارد,
"
                            تولید و پخش انواع نان های کاک، شیرمال، خرمایی، کره ای، شیری و ...(سوغات شاهرود)
                            
",احسان حسینی,33168277,9124741723,منطقه 14,"
                           پیروزی، خ نبرد شمالی، نبش کوچه فرشباف  پلاک: 5 
                        ",,
"
                            واردکننده و پخش انواع اجناس دکوری و فانتزی
                            
",علی پناه احمدی,55160965,9129350256,منطقه 12,"
                           خ 15خرداد، بازار نوروزخان، پایین تر از بانک ملی  پلاک: 33 
                        ",,
"
                            تولید انواع شال و پارچه تریکو
                            
",علی ابریشمی,55609317,,منطقه 12,"
                           پانزده خرداد - بازار بزرگ -بازار جعفری   پلاک: 102 طبقه 2 
                        ",,
"
                            مرکز پخش و نصب انواع عایق های رطوبتی
                            
",بهادر محمدزاده,77590203,,منطقه 8,"
                           خ شهید مدنی-چ گلچین-نرسیده به خ شهید یزدی  پلاک: 520 
                        ",,
"
                            پارچه سرا(ارزانسرای واقعی:اگرچه قیمت های باورکردنی نیست اما واقعیست، کافیست یکبار امتحان کنید)
                            
",فاصل ابراهیمی,-,9198108392,منطقه 17,"
                           امامزاده حسن، خ لقمان حکیم، نبش کوچه علیها  پلاک: 137 
                        ",,
"
                            جوش انواع فلزات از قبیل استیل-آلومینیوم-آهن-چدن
                            
",آرش محمدی,33873611,,منطقه 15,"
                           خاوران- م آقانور-20 متری اعظم مشیریه-بین ک 4 و 5 شرقی  پلاک: 425 
                        ",,
"
                            فتوکپی، پرینت، پلات، لوازم اداری، لوازم التحریر، کارت ویزیت، سربرگ، تراکت، شارژ کارتریج، سرویس پرینتر، مجهز به ماشینهای چاپ پیشرفته و کیفیت بسیار عالی، چاپ روی بوم، پارچه ، کتد، کنواس، گلاسه و کالک. تهیه کاتالوگ، بروشور، پوستر، تراکت تبلیغاتی و لیبل، کارت ویزیت، اوراق اداری ، سر برگ و پاکت نامه ، انواع قبض و فاکتور ( پرفراژ و خط تا) ، پلات حرفه ای و لمینیت ، سلفون کشی حرارتی در انواع سایز ها، -چاپ حرفه ای دیجیتالی رنگی با کیفیت عالی و قیمت مناسب- تحویل فوری برش و حکاکی لیزری انواع مواد (بغیر از فلز و شیشه) 
                            
",مصطفی گلستانی,22708907,9123490959,منطقه 1,"
                           میدان تجریش، بین خ سعدآباد و ولیعصر، ساختمان لیستر، طبقه اول 
                        ",,دارد
"
                            عرضه مستقیم مواد شوینده و بهداشتی
                            
",حسین  قاسمی نژاد,88451949,9122977434,منطقه 8,"
                           رسالت، مجیدیه، 16 متری دوم جنوبی  پلاک: 70 
                        ",,دارد
"
                            آزمایشگاهی- تحقیقاتی و پزشکی
                            
",محمود  عصار,66972126-66978535,,منطقه 11,"
                           ولیعصر، بالاتر از جامی، ابتدای کوچه نظام، جنب بانک تجارت  پلاک: 31 
                        ",,
"
                            خدمات الکترونیک شهر(زیر نظر موسسه فناوران شهر وابسته به شهرداری تهران)، ارائه خدمات شهرسازی، امور مهندسین ناظر، مفاصاحساب و عوارض خودرو، صدور انواع گواهی ساختمان و آپارتمان، عدم خلاف، بلامانع ناحیه و شهرسازی، صدور فیش عوارض شهرداری، مفاصا حساب نوسازی، استعلام بانک و طرح، گزارش مرحله ای ناظر
                            
",سیدناصرالدین  هاشمی,66464223-66465045,,منطقه 11,"
                           خ ولیعصر، پایین تر از چهارراه ولیعصر کوچه محتشم  پلاک: 6 طبقه اول 
                        ",,دارد
"
                            نماینده انحصاری و مرکز تخصصی دستگاه تصفیه آب خانگی و صنعتی و نیمه صنعتی
                            
",حیدر علی شهرآشوب,44696114-15,,منطقه 5,"
                           شهرک اکباتان - فاز 2 -  پاساژ گلها  طبقه میانی  پلاک: 156 
                        ",,
"
                            فروش و تعمیر انواع ساعت های اتوماتیک و کوارتز
                            
",نجفقلی کاظمی,55718886,9124158637,منطقه 10,"
                           خ قزوین، خ سبحانی(16متری امیری)، ابتدای خ حسام الدین  پلاک: 413 
                        ",,
"
                            مخراج کاری
                            
",سیدمحمدرضا دریاباری,33981260,9122981192,منطقه 12,"
                           خ ناصر خسرو، خ مروی پاساژ اعلا طبقه ششم  پلاک: 716 
                        ",,
"
                            بدلیجات,
                            
",مسعود چمن آرا,55719203,,منطقه 17,"
                           امام زاده حسن پاساژ مهدی  پلاک: 2 
                        ",,دارد
"
                            طراحی و تولید دستگاه های اپتیکی و پزشکی، تهیه و پخش انواع فریم های طبی و آفتابی، با بیش از نیم قرن سابقه
                            
",غلام حسن کاویانی,66722256-66745689-66703925,9120383770,منطقه 12,"
                           خ جمهوری، تقاطع حافظ، کوچه شاهرخ، بازار عینک جمهوری طبقه همکف، پلاک 16 
                        ",دارد,
"
                            عرضه کننده ظروف کریستال -نماینده فروش محصولات کریستال ناخمن آلمان 
                            
",ابراهیم و یوسف اسدزاده,55183542- 55183541,,منطقه 16,"
                           میدان شوش - خ شهید صابونیان -  پاساژ شهرداری -طبقه منفی یک  پلاک: 7 
                        ",دارد,دارد
"
                            قالی های نفیس
                            
",مجید حسین نژاد,55800194,,منطقه 12,"
                           بازار کفاشها کوچه کبابی ها،سرای پارک،شماره 5 و 6 
                        ",,
"
                            بازی فکری و کمک آموزشی
                            
",مسعود خرسندیان,55572727,,منطقه 12,"
                           15خرداد - بازار آهنگران کوچه مسجد جامع پاساژ کاغذ و تحریر طبقه زیرزمین اول  پلاک: 7 
                        ",,
"
                            ساخت قالب کفش، طراحی و مدلسازی ماهیچه های کفشی با دستگاه CNC
                            
",اسماعیل آقا محمدی,55153524-55153560,,منطقه 12,"
                           15 خرداد، نرسیده به چ گلوبندک کوچه منوچهرخانی پاساژ میلاد  پلاک: 10 
                        ",,
"
                            نقاشی
                            
",داداشی,88893720,,منطقه 6,"
                           ولیعصر بالاتراز م ولیعصر   پلاک: 1774 
                        ",,
"
                            تجهیزات پزشکی
                            
",محمد قهرمانپور,66968829,9123581883,منطقه 11,"
                           خ ولیعصر، بالاتر از چهارراه سپه، خ آذربایجان  پلاک: 6 
                        ",,
"
                            مشاوره و صدور انواع بیمه نامه
                            
",محمدرضا مرتضایی,33309831-55817811,9125372712,منطقه 12,"
                           مولوی، روبروی بیمارستان اکبرآبادی(مادر)، پاساژ صدف، ط اول، واحد206، خ کرمان، جنب بانک ایران زمین، پ 11 
                        ",,
"
                            فروش ویژه دستگاه های تصفیه آب خانگی با دو فقره چک 4ماهه
                            
",امیرحسین  میرصانعی,44295560-44295561,9124366104,منطقه 2,"
                           ستارخان -بازار سنتی -فاز 4 -طبقه اول   پلاک: 4/7 
                        ",,
"
                            اولین سازنده چتر سایبان در ایران و تولید چتر تبلیغاتی
                            
",محمدرضا ضرابی ها,66702719,,منطقه 11,"
                           امام خمینی-روبروی فروشگاه مرکزی اتکا(ارتش)  پلاک: 215 
                        ",,
"
                            پخش انواع چینی -سرامیک-جهیزیه
                            
",سهیل عامری, 55045670- 55046750,9126583134,منطقه 16,"
                           میدان شوش-خ صابونیان-خ کاخ جوانان پاساژ الغدیر طبقه 2+  پلاک: 54 
                        ",,
"
                            مرکزپخش انواع لوازم گازسوزخانگی
                            
",حسین فضلی,55634147,,منطقه 12,"
                           بازار سرای قدسیه  پلاک: 8-9 طبقه فوقانی 
                        ",,
"
                            تولیدی نخ
                            
",کاظمی,33968127,,منطقه 12,"
                           15خرداد پاساژ امیر طبقه اول  پلاک: 35 
                        ",,
"
                            ماهی شور و شیرین
                            
",نیما نیکویی نژاد و مهرداد رفیعی,22506697-09381012056,9192587146,منطقه 4,"
                           مجیدیه شمالی، بالاتر از میدان ملت، پیچ شمس آباد، خ زندی  پلاک: 36 
                        ",,
"
                            تولیدی پوشاک تریکو، تاپ، تی شرت، شلوارک زنانه ، دخترانه
                            
",فرهاد فروزانیان,33922189,9122598450,منطقه 12,"
                           خ جمهوری، خ ظهیرالاسلام، مجتمع تجاری ظهیرالاسلام طبقه 3 واحد 303 
                        ",,
"
                             طرف قرارداد باشرکت هاکوپیان خشکشویی تخصصی چرم جیر کیف کفش تابلو فرش نفیس( ابریشم، کرک)(سرویس رایگان)
                            
",فریبرز بیک,77905743-77905744-77903014,9212028685,منطقه 8,"
                           نارمک، خ آیت، پایین تر از هفت حوض ابتدای خ شهید حمید گلستانی(چمن شرقی)، جنب کفش ملی  پلاک: 86و69 
                        ",,دارد
"
                            تصویربرداری های پزشکی
                            
",,88969331,,منطقه 6,"
                           بلوار كشاورز-ك.رويان-پ.75-ط.دوم 
                        ",,
"
                            ابزار آلات تراشکاری، قالبسازی NC و CNC
                            
",عبدالرضا شاهی,66701885-66727590-66733833,9122941890,منطقه 12,"
                           خ امام خمینی پاساژ نظام طبقه همکف  پلاک: 105 
                        ",,
"
                            ظروف کرایه-تجهیزات مجالس
                            
",حمید صالحی,44718570,,منطقه 22,"
                           شهرک راه آهن-بلوار امیر کبیر-روبروی پست برق  پلاک: 28 طبقه همکف 
                        ",,
"
                            رادیولوژی و سونوگرافی، سنجش تراکم استخوان
                            
",دکتر فیروز تبرک,88302771-88344981,,منطقه 6,"
                           خ سمیه - بین موسوی و ایرانشهر - ساختمان 130 یا پ 192 جدید، واحد 1 
                        ",,
"
                            تولید و آموزش صنایع دستی، آموزش نقاشی روی شیشه و بلور(چینی ، سفال و سرامیک)، دوره آموزشی:240 ساعت به همراه مدرک معتبر، کارت شناسائی از سازمان صنایع دستی و گردشگری، کارت مشاعل خانگی جهت کار در منزل و دریافت وام بدون سود بانکی، دیپلم فنی و حرفه ای جهت بیمه هنرمندان، آزمونگر صنایع دستی و فنی حرفه ای با 24 سال سابقه کار
                            
",محمد  بنی جواد,55960434,09016139302ــ09126139302,منطقه 20,"
                           شهرری - میدان هادی ساعی - بلوار مدرس - جنب میدان مدرس - بازار بزرگ   پلاک: 5 طبقه 1 
                        ",,
"
                            صنایع چوب
                            
",هادی کمالو,77450868,9102112852,منطقه 4,"
                           دلاوران، بین تکاوران و سراج  پلاک: 210 
                        ",,
"
                            عرضه ماشین های اداری، قطعات و مواد مصرفی انواع دستگاههای فتوکپی
                            
",پوریا شکری,88325606-88812741-88812742,9121316904,منطقه 6,"
                           خ ایرانشهر جنوبی، روبروی مسجد جلیلی  پلاک: 37 
                        ",,دارد
"
                            طراحی، ساخت، اجرای پروژه های تهویه صنعتی و ساختمانی، انواع الکتروموتور AC، EX، DC، پمپ، مشعل، سانترفیوژ، هواساز، سقفی، جت فن هیتر، چیلر، فن مرغداری، دم فشار قوی، انواع پروانه های ریختگی و ساختگی، اتصالات و لوله اسپیرال، PVC، آلومینیوم، برزنتی
                            
",محمد پاک روش,33929281-33921284,,منطقه 12,"
                           خ سعدی شمالی، بعداز منوچهری   پلاک: 532 
                        ",,
"
                            MDF(کابینت)
                            
",مرتضی محمدیان,-,9127933884,حومه تهران,"
                           شهرک صنعتی خاوران، سایت درودگران، خ بلوط 3  پلاک: 232 
                        ",,
"
                            نقاشی، گچبری، تعمیرات، نیم پلی استر، کیلر، سیلر
                            
",امیر نصیری,33366006,9122205451,منطقه 14,"
                           خ پیروزی، انتهای خ زینتی افخم، جنب میدان سرآسیاب  پلاک: 26 
                        ",,
"
                            تزئینات و دکوراسیون داخلی
                            
",محمدرضا سعیدی,88531871-2-88503490,9121976642,منطقه 7,"
                           سهروردی شمالی، میدان پالیزی  پلاک: 604 
                        ",,
"
                            فروش- نصب-تعمیرات
                            
",حسن سلیمی,55323551,,منطقه 16,"
                           خ شوش شرقی- نرسیده به م شوش- مقابل خ پیمانی  پلاک: 458 
                        ",,
"
                            ترجمه متون و اسنادرسمی به کلیه زبان ها -ترجمه انواع زبان ها 
                            
",اکبر طایفه آیرملو,66975076-66975077,,منطقه 6,"
                           خ انقلاب - مقابل دانشگاه تهران -  پاساژ فروزنده-واحد 425 
                        ",,
"
                            انواع ترشیجات ، مرباجات، آبلیمو، آبغوره، مرکز انواع سبزیجات سرخ شده و...
                            
",اعظم استاداکبربنا,77414758,9127627518,منطقه 14,"
                           خ پیروزی، خ چهارم نیروی هوائی، پایین تر از کوچه 3/27  پلاک: 76 
                        ",,
"
                            پخش کلی و جزئی دانه های قهوه، قهوه سبز، ترک، اسپرسو، فرانسه و انواع نسکافه، کاپوچینو، هات چاکلت و قهوه سازهای گازی و برقی
                            
",بهروز الهی,-,9124332204,منطقه 10,"
                           خ کمیل، بین رودکی (سلسبیل) و نواب، نبش خ فرهنگیان  پلاک: 117 
                        ",,
"
                            کیف و کفش زنانه(چرم تبریز)
                            
",محسن صیامی,44667610,9351408878,منطقه 5,"
                           اکباتان، فاز 1، روبروی بیمارستان صارم سوپر ده  پلاک: 15 
                        ",,
"
                            خدمات مجالس-تالار پذیرایی
                            
",احمد خانی,44726635,,منطقه 22,"
                           شهرک گلستان(راه آهن سابق)-بلوار کاج-نبش بنفشه دوم  پلاک: 23 
                        ",,
"
                            نمایندگی و مرکز فروش چسب هل ، هنکل ، دلتا، آلتکو ، خمیرپارس و...
                            
",مهدی نظری,33785883-33330307,,منطقه 13,"
                           17 شهریور- خ صفای شرقی  پلاک: 316 
                        ",دارد,دارد
"
                            لوازم خیاطی و خرازی 
                            
",رحیم  افشاری,-,9307159107,منطقه 1,"
                           پاسداران، چهارراه پاسداران، مرکز خرید 06  پلاک: 46 
                        ",,
"
                            چسب صنعتی 
                            
",مهدی  عجم,88052383,,منطقه 3,"
                           ونک ملاصدرا خ شیراز جنوبی ابتدای سامان   پلاک: 1 
                        ",,
"
                            انواع چادر مشکی و نمازی -مانتوهای اداری 
                            
",ناصر قاضی پور,22760080-2- 22582605,9121221978,منطقه 3,"
                           پاسداران، جنوب چهارراه، ساختمان 370، ط4، واحد17، پ492 
                        ",,
"
                            ترجمه کلیه متون علمی تخصصی به زبانهای انگلیسی وفرانسه و آلمانی وروسی وعربی وترکی
                            
",ابوالفضل حقیقی,88720712-88711598,,منطقه 6,"
                           قائم مقام فراهانی پائین تراز بهشتی جنب بانک سپه- ساختمان 216    پلاک: 13 طبقه اول 
                        ",,
"
                            قالبسازی
                            
",سینا پورصفار,77353821,,منطقه 4,"
                           تهرانپارس، خ جشنواره، خ نقدی، مجتمع صنعتی دنا  پلاک: 9/8 
                        ",,
"
                            عرضه فرش های ماشینی
                            
",مهران ضابطی,33127192,,منطقه 12,"
                           چهارراه سیروس، خ مصطفی خمینی  پاساژ مباشر طبقه همکف  پلاک: 19 
                        ",,
"
                            داربست 
                            
",حسین بلندی,77332363,,منطقه 4,"
                           تهرانپارس خ وفادار شرقی خ139بین خ218و216شرقی   پلاک: 149 
                        ",,
"
                            خانه کارگر
                            
",,66403846,,منطقه 6,"
                           خ.انقلاب خ.ابوریحان چهارراه روانمهر پ.76 
                        ",,
"
                            ساخت محاسبه طراح و اجرای کلیه  سیستم های تصفیه آب-مواد شیمیایی دستگاه های پیش تصفیه -لوازم استخر جکوزی
                            
",حمید رضا ساکی,77536982,,منطقه 7,"
                           بهار شمالی-نرسیده به خ شهید کارگر  پلاک: 239 
                        ",,
"
                            کولر گازی
                            
",محمدرضا مهدیانی,33522783,,منطقه 12,"
                           امیرکبیرشرقی - نرسیده به چ سرچشمه - جنب مسجد محمودیه  پلاک: 196 
                        ",,
"
                            فروش و عرضه کلیه لوازم و قطعات انواع آسانسور و پله برقی
                            
",حمیدرضا نصیری,77299927-77299289,9121332494,منطقه 4,"
                           تهرانپارس، خ 196 غربی، نبش خ زرین  پلاک: 99 
                        ",,
"
                            تولیدکننده و فروشنده انواع توری های حصاری، پرسی، سیم خاردار، گابیون، مفتول و...
                            
",محمد پوراسلامی,66313256-66315219,9124306530,منطقه 18,"
                           بازار آهن شاد آباد، بهاران 1، بلوک 33  پلاک: 79 
                        ",,
"
                            خدمات آمبولانس ها و فوریتهای پزشکی
                            
",,88616260,,منطقه 6,"
                           بزرگراه کردستان چهار راه آ.إس.پ- مجتمع آ.إس.پ- برج C- طبقه همکف - واحد 421 
                        ",,
"
                            عرضه لوازم و ظروف خانگی
                            
",مسعود جاله,55329627,9124762746,منطقه 16,"
                           میدان شوش، خ صابونیان، خ شهرداری، خ عابدینی، پلاک 23 
                        ",,
"
                            تولید وپخش پوشاک ولوازم ورزشی
                            
",غلام رضا شکاری,66722288 -66711147,,منطقه 11,"
                           خ جمهوری ، نبش ک گوهرشاد  پلاک: 419 
                        ",,
"
                            شرکت خدمات مسافرتی
                            
",حاج حسین لک,55933232- 55909323- 55939825- 55919007,,منطقه 20,"
                           شهرری - م فرمانداری - نرسیده به فروشگاه رفاه - جنب کانون بسیج  پلاک: 20 
                        ",,
"
                            طراح و مجری مدرن ترین تابلوهای تبلیغاتی، چنلیوم، استیل نوراندریک، نئون پلاستیک، برش لیزری با پیشرفته ترین دستگاه، اجرای کامپوزیت و چوب ترمو، طراحی، ساخت و اجرای انواع تابلوهای نمایشگاهی، ساخت تابلو های LED ثابت و روان
                            
",محسن اسماعیلی و نعیم کاظم نژادمژدهی,44504278,09191257202-09122851626,منطقه 21,"
                           تهرانسر، بلوار لاله، چهارراه قباد، پاساژ لاله، پلاک 9 
                        ",دارد,دارد
"
                            پخش شوینده و دستمال سلولزی
                            
",امیر دباغ,55805340,,منطقه 12,"
                           میدان محمدیه، خ خیام جنوبی پاساژ برلیان طبقه 1-  پلاک: 2 
                        ",,
"
                            مواد اولیه قنادی و لوازم قنادی، قالب کیک و ژله، شمع و تزئینات تولد
                            
",احمد اکبرشاهی,55584581-5584582,9122132862,منطقه 12,"
                           بازار تهران، چهارراه سیروس، سر پولک ، پاساژ دربندی  پلاک: 5 
                        ",,
"
                            ماشین آلات صنایع چوب و کمپرسورهای بادی
                            
",حمیدرضا صالح و محمد صالح,66409927-66409946-66409981,,منطقه 11,"
                           خ کارگر جنوبی - چ لشگر - روبروی اداره پست - نبش ک فرشته   پلاک: 837 
                        ",,
"
                            باشگاه بدن سازی - ویژه اقایان(8تا11شب)
                            
",ابوالفضل نقدی,33812742,9369296729,منطقه 15,"
                           20متری افسریه - خ 15 متری دوم - خ هاشمی(13)  پلاک: 153 
                        ",,
"
                            عایق های حرارتی و برودتی و صوتی , لوله و اتصالات مسی
                            
",محمود کمیجانی,33995058-33995059,9122109768,منطقه 12,"
                           خ امیرکبیر، خ سعدی جدید  پلاک: 138 
                        ",,دارد
"
                            جوش پلاستیک - انواع جلد و کاورهای پلاستیکی 
                            
",محمدرضا  عنایتی,55158676,,منطقه 12,"
                           15 خرداد - بازار آهنگران -  کوچه مسجد جامع  پاساژ ضیایی طبقه اول   پلاک: 4/1 
                        ",,
"
                            فوق تخصص چشم و بیماریهای قرنیه
                            
",دکتر مجید محبی,88202221,,منطقه 3,"
                           میدان ونک، شمال شرقی میدان، خ شریفی  پلاک: 61 
                        ",,
"
                            پخش بلور و سرامیک و لوازم آشپزخانه و لوازم دکوری و تزئینی
                            
",حسن رضوی,55084844-55084846-55046572-(تلگرام: 09121025688),,منطقه 16,"
                           م شوش - خ صابونیان - خ کاخ جوانان پاساژ الغدیر طبقه 1-  پلاک: 33 
                        ",,
"
                            آموزش دوره های :کاربرد گیاهان داروئی، فروشندگی گیاهان دارویی، اسانس گیاهی، پرورش گیاهان دارویی، مهارت های سالم زیستن-طب سنتی- کرم ها و ماسک های گیاهی - بادکش - حجامت-زالو -عنبیه شناسی-نبض شناسی -پداگوژی- مدیر آموزشگاه -مدیر مهد -مدیر کودکستان -
                            
",جمیله قاسمی,44956284-44956285-44956286-44956287,,منطقه 5,"
                           روبروی درب شمالی ایستگاه متروی صادقیه ساختمان آریا،   پلاک: 2 طبقه 3 واحد 9
                        ",دارد,دارد
"
                            عرضه کننده بهترین پوشاک بچه گانه
                            
",مسیب و مصطفی  رضایی,33931038-33940369-09127718439,9125084810,منطقه 12,"
                           خ جمهوری، خ لاله زار جنوبی کوچه برلن پاساژ جنرال مد طبقه دوم  پلاک: 206 
                        ",,دارد
"
                            تهیه  و پخش انواع الکتروموتور، گیربکس، بلبرینگ، تسمه، کاسه نمد و...، (صنعتی-کشاورزی)
                            
",علی غفاری,33531055,9126482568,منطقه 12,"
                           خیابان اکباتان کوچه نفیسی پاساژ ناظم الاطباء طبقه 2+  پلاک: 10 
                        ",,
"
                            تعمیرات جیر و چرم و چمدان
                            
",حمید سنجری,44498612,,منطقه 5,"
                           م پونک  پاساژ بوستان - بازارچه یاس - راهروی اردیبهشت 4  پلاک: 92B 
                        ",,
"
                            پخش لوازم  ریز آشپزخانه
                            
",حسین منصوری,55589520,,منطقه 12,"
                           چ مولوی -خ مولوی -ایستگاه سعادت - جنب مسجد امام حسین   پلاک: 557 
                        ",,
"
                            عرضه کننده انواع محصولات شوینده و بهداشتی (به صورت عمده و جزئی)
                            
",هادی شفیعی زاده,66881817,9352982309,منطقه 10,"
                           خ مالک اشتر، بعد از جیحون، به سمت انتهای خ ، نبش کوچه خراسانی  پلاک: 356 
                        ",,
"
                            بانکداری
                            
",,46836600-1,,منطقه 21,"
                           بزرگراه لشگری(جاده مخصوص کرج)- کیلومتر 17- کارخانه کفش بلا 
                        ",,
"
                            نمایندگی بوتان(فروش و خدمات پس از فروش)
                            
",مجید اسدیان,76244840-76244841,9122584654,حومه تهران,"
                           پردیس - فاز 2 - مجتمع بهاران ورودی C ، واحد 44 
                        ",دارد,
"
                            مبلمان 
                            
",اشکان نوروزی,66739890-66739850,9125766374,منطقه 12,"
                           خ حافظ، پایین تراز خ جمهوری، روبروی بازار موبایل ایران، پلاک 191، طبقات همکف و اول 
                        ",,
"
                            سیستم آشپزخانه -طراحی و اجرای دکوراسیون داخلی (ساخت انواع میز LCD -میز کامپیوتر -تخت خواب )-خدمات استار (برش -pvc-مونتاژ)-یراق استار(مرکز فروش یراق آلات کابینت -قفل -دستگیره -لولا )-نمایندگی شرکت های استیل البرز-اخوان -بیمکث- تابان -ایلیا استیل 
                            
",علی  حضوری,55951906,,منطقه 20,"
                           آدرس دفتر :سه راه ورامین -یه سمت م معلم -ظهیرآباد 174 ، کارخانه : شهرری- کیلومتر 5 جاده ورامین -جنب بریدگی جاده تظامن -مصالح ساختمانی  
                        ",,
"
                            نشر
                            
",قهرمان زاده,66487828,,منطقه 6,"
                           خ انقلاب پاساژ اندیشه طبقه همکف 
                        ",,
"
                            نقاشی
                            
",جلال افشاری,22720408,,منطقه 1,"
                           تجریش  پاساژ قائم طبقه ششم  پلاک: 3112 
                        ",,
"
                            CNC قطعات، برش ورق و تابلوهای تبلیغاتی
                            
",مهندس مرتضی خانقاهی,36055242-33111131,9126056703,منطقه 12,"
                           بازار، 15خرداد، خ پامنار،  پاساژ فدک طبقه زیر همکف  پلاک: 119-123 
                        ",,
"
                            تولید و پخش لوازم آشپزخانه
                            
",مصطفی کیانی,55058029,,منطقه 16,"
                           م شوش-خ صابونیان-خ شهرداری-بین ک 18 و 19  پلاک: 63 
                        ",,
"
                            لاستیک 
                            
",مرتضی صادقی,33127278-33540377-33540376,9123342631,منطقه 12,"
                           خ امیر کبیر شرقی پاساژ عظیمی طبقه همکف   پلاک: 3 
                        ",,
"
                            گیربکس کامل نیسان دیزل، بنزینی، لوازم یدکی گیربکس، گیربکسهای سنگین 1924 و 2426 و گیربکس S690
                            
",میکائیل اصغری,36614206,9122565952,منطقه 11,"
                           امیرکبیر، خ کتانه، خ منصور الحکماء پاساژ شجاع طبقه 3  پلاک: 7 
                        ",,
"
                            چلوکبابی
                            
",محمد رجبی,77867823-77291561,,منطقه 4,"
                           تهرانپارس-بین رشید و چ تیرانداز  پلاک: 146 
                        ",,
"
                            خرید و فروش مصالح ساختمانی
                            
",فرشید شاهرخی,77333800,,منطقه 4,"
                           حکیمیه، خیابان سازمان آب، روبروی یکم شرقی، ساختمان شرکت ملی گاز ایران 
                        ",,
"
                            جاکفشی و میز LCD، میز کامپیوتر(تولید و پخش)
                            
",محمود حسینی,66297725-09122807884,,منطقه 18,"
                           شهرک ولیعصر، خ سیدالشهدا غربی  پلاک: 302 
                        ",,
"
                            چرم و پارچه - پارچه مبلی 
                            
",وحید معصومی,77203204,9193024124,منطقه 4,"
                           بازار مبل دلاوران، تکاوران جنوبی، ضلع شرقی  پلاک: 131 
                        ",,
"
                            لوازم ورزشی
                            
",امیر سلیمی,55481995,,منطقه 11,"
                           م منیریه، خ معیری   پلاک: 98 
                        ",,
"
                            لوازم هنری و ماکت سازی
                            
",امیر  یاری,22841066,,منطقه 1,"
                           پاسداران نبش نگارستان 4  پلاک: 165 
                        ",,
"
                            انواع رگال و مانکن و چوب کار - نردبان 
                            
",حسین  پاشا,66752601,,منطقه 12,"
                           خ حافظ - روبروی جامی  کوچه ظفر  پلاک: 21 
                        ",,
"
                            تولید وسایل یکبارمصرف دندانپزشکی
                            
",حمیدرضا گندمکار,66831885-66873784-66893167,09121154673-(تلگرام: 09036820488),منطقه 10,"
                           بزرگراه نواب، جنب پل کمیل، مجتمع تجاری ابریشم واحد 38
                        ",,
"
                            عاملیت فروش لوله های سپاهان فروش لوله گالوانیزه ساوه سپنتا وارد کننده لوله های بدون درز (مانیسمان)
                            
",محمدمحسن جواهری,66318028-66318029,9121862303,منطقه 18,"
                           بازار آهن شاد آباد، مجتمع پاییزان، بلوک 3  پلاک: 27 
                        ",,
"
                            ساخت و تراش قطعات لوستر و...، قبول سفارشات تراشکاری با دستگاه های اتومات و دستی
                            
",علی انیسی,33171668-33162613,9123259785,منطقه 14,"
                           اتوبان امام علی، خ پاسدار گمنام، میدان موتورآب، خ اکبرآبادی شمالی  پلاک: 130 و 132 
                        ",,
"
                            تولید و پخش ابزار ساختمانی و یراق
                            
",محمد معمارکار و قاسم چوپان زاده,33982064-33981244-33985092-33915748,9123210273,منطقه 12,"
                           خ مصطفی خمینی، نرسیده به چ سیروس، روبروی سرای ابریشم  پلاک: 338/1 
                        ",,
"
                            لوازم شکار-ورزش ماهیگیری
                            
",مهدی وطنی,33964970,,منطقه 12,"
                           فردوسی جنوبی-روبروی شهر و روستا  پلاک: 219 
                        ",,
"
                            برق صنعتی و ساختمانی - قطعات الکتریکی و الکترونیکی - نصب و تعمیر دوربین مدار بسته - آیفون - اجرای پروژه های صنعتی و ساختمانی -سیستمهای امنیتی اماکن عمومی-مسکونی اداری تجاری و صنعتی 
                            
",محمد آراسته,77730627-77734881,9124754804,منطقه 4,"
                           فلکه سوم تهرانپارس، خ 196 شرقی، تقاطع سجده ای  پلاک: 546/1 
                        ",,دارد
"
                            تجهیزات موتورسیکلت (کلاه و لباس ایمنی موتورسیکلت)
                            
",پژمان  فتحی,55366086,9122093991,منطقه 11,"
                           م رازی - خ مولوی  پاساژ بهمن  پلاک: 1192 
                        ",,
"
                            نماینده رسمی موتورهای پرکینز موتورسازان تراکتورسازی
                            
",محمد مطلب پور,33909277-33110673,9124111605,منطقه 12,"
                           خیابان سعدی جنوبی کوچه ترابی گودرزی  پلاک: 34 
                        ",,
"
                            خدمات مجالس 
                            
",,26311269,,منطقه 2,"
                           بزرگراه همت خ ریحانی بعداز م بهشتی  کوچه صفایی   پلاک: 41 
                        ",,
"
                            عرضه باطری ایرانی و خارجی، نمایندگی اوربیتال، اتمیک، دلکور، پوما ساخت کره جنوبی
                            
",علی منتظری,22577475-22558379,,منطقه 3,"
                           قلهک، خ دولت، سه راه نشاط  پلاک: 366 
                        ",,دارد
